City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
115,zdvinsk,54.7021,78.661,273.46,99,100,2.59,RU,1711757332
116,moree,-29.4667,149.85,298.64,57,3,2.8,AU,1711757333
117,utrik,11.2278,169.8474,300.05,77,100,7.55,MH,1711757333
118,blackmans bay,-43.0167,147.3167,290.22,78,99,0.43,AU,1711757334
119,port saint john's,-31.6229,29.5448,293.4,83,100,0.61,ZA,1711757334
120,smithers,54.7804,-127.1743,281.33,21,0,1.54,CA,1711757146
121,soio,-6.1349,12.3689,299.99,84,100,1.61,AO,1711757336
122,remire-montjoly,4.9167,-52.2667,297.17,100,100,1.54,GF,1711757337
123,thompson,55.7435,-97.8558,268.92,89,100,2.06,CA,1711757338
124,puerto ayora,-0.7393,-90.3518,299.57,92,69,4.92,EC,1711757339
125,kill devil hills,36.0307,-75.676,288.16,52,0,2.57,US,1711757223
126,mili,6.0815,171.735,301.49,79,100,8.73,MH,1711757340
127,as sulayyil,20.4607,45.5779,295.29,32,79,3.57,SA,1711757341
128,port alfred,-33.5906,26.891,290.47,96,95,6.32,ZA,1711757342
129,tual,-5.6667,132.75,300.75,78,100,3.4,ID,1711757113
130,rackeve,47.161,18.9448,287.69,73,83,4.38,HU,1711757343
131,angaur state,6.906,134.13,301.31,80,58,7.45,PW,1711757344
132,bilbays,30.4204,31.5622,291.61,92,0,2.64,EG,1711757345
133,mingguang,32.7802,117.9638,291.7,79,100,2.47,CN,1711757346
134,kourou,5.1552,-52.6478,297.18,93,100,3.26,GF,1711757346
135,aur,8.1499,171.1687,301.05,81,100,8.15,MH,1711757291
136,geidam,12.897,11.9304,304.61,11,52,4.45,NG,1711757348
137,karratha,-20.7377,116.8463,303.91,28,0,7.34,AU,1711757349
138,frankfort,-27.2667,28.4833,286.24,97,1,3.02,ZA,1711757350
139,turkestan,43.3333,68.25,278.15,71,30,3.3,KZ,1711757350
140,vilyeyka,54.4896,26.9062,278.78,83,46,3.07,BY,1711757351
141,gualeguay,-33.1416,-59.3097,293.17,74,0,2.48,AR,1711757274
142,oranjemund,-28.55,16.4333,288.89,93,2,1.4,NA,1711757352
143,harper,4.375,-7.7169,300.51,89,98,2.5,LR,1711757353
144,fort bragg,35.139,-79.006,291.47,33,0,3.6,US,1711757105
145,isla del bosque,22.7333,-105.85,297.27,56,1,4.19,MX,1711757355
146,kirensk,57.7853,108.1119,255.91,95,24,1.34,RU,1711757356
147,avarua,-21.2078,-159.775,304.18,74,40,5.14,CK,1711757169
148,vorgashor,67.5833,63.95,262.26,96,100,3.73,RU,1711757357
